id,inTime,outtime,status,misc,MemberDetails_id,SecurityPostDetails_id,altcontact
1,2021-02-06 00:28:00,2021-02-06 06:28:00,ACT,,2918,1,
2,2021-02-06 00:35:00,2021-02-06 06:35:00,ACT,,2920,16,
3,2021-02-06 04:36:00,2021-02-06 06:36:00,ACT,,2918,4,
