id,name
1,Security Office
2,Gate 2
3,Gate 3
4,Kanta Hut
5,Canteen
6,BAV-Room 9
7,G-9
8,Saroorpur I
9,Saroorpur II
10,Langar
11,L-2
12,Kothi
13,L-5
14,Stage
15,Pandal Store
16,Pandal Office
17,Pillar-121
18,Water Tank-2
19,Ara Machine
20,Tea-Morning
21,Tea-Evening
22,Tea-Night
23,Round-Morning
24,Round-Evening
25,Round-Night
